2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,7:30 AM,CSC230,1M,Computational Theory,3,7:30 AM-8:50 AM,MTWHF,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,7:30 AM,MAT305,1,Problem Solving,3,7:30 AM-8:50 AM,MTWHF,John Kane,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,BIT430,1,Decision Support Systems,2,8:00 AM-8:50 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,CSC250,1,Algorithms & Data Structures I,4,8:00 AM-9:50 AM,MTWHF,Joshua Krebs,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,FAC299,B1,Marketing Your Personal Brand,2,8:00 AM-8:50 AM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,MGT301,1,Project Management,4,8:00 AM-9:50 AM,MTWHF,Jerry Pay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,MTM320,,Advanced Web Scripting,4,8:00 AM-8:50 AM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,8:00 AM,SSC310,A,American Legal System,3,8:00 AM-8:50 AM,TWHF,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,BUS445,1,International Business Practices,3,9:00 AM-10:20 AM,MTWHF,Douglas Bingham,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,ENG311,A1,Principles of Creative Writing,2,9:00 AM-9:50 AM,MTWHF,Brandon Berrett,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,FAC101,B1,Art Appreciation,2,9:00 AM-9:50 AM,MTWHF,Timothy Parker,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,FAC299,A1,Marketing Your Personal Brand,2,9:00 AM-9:50 AM,MTWHF,Patrick  Brown,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,HUM150,1,Logic,3,9:00 AM-10:20 AM,MTWHF,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,ITH215,A1,Networking I,2,9:00 AM-10:30 AM,MTW,Ben Fletcher,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,9:00 AM,SSC320,1,Group Dynamics,3,9:00 AM-10:20 AM,MTWHF,Russ Rampton,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC150,B,Object Oriented Programming and Design,6,10:00 AM-11:50 AM,MTWHF,Matt Warner,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC150,C,Object Oriented Programming and Design,6,10:00 AM-11:50 AM,MTWHF,Ryan Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC180,,Open Source Platforms Development,4,10:00 AM-10:50 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC210,A1,Introduction to Web Presentation and Development,2,10:00 AM-10:50 AM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,CSC390,,Operating Systems,3,10:00 AM-10:50 AM,MTWH,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:00 AM,FAC120,A,Spoken Communications,3,10:00 AM-10:50 AM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:30 AM,ITH215,B1,Networking I,2,10:30 AM-12:00 PM,MTW,Ben Fletcher,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:30 AM,ITS320,1,"Systems, Network, and Physical Security",3,10:30 AM-11:50 AM,MTWHF,Kerry Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,10:30 AM,PSC230,A1,Introduction to Chemistry,2,10:30 AM-11:20 AM,MTWHF,Eric Kohler,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,CSC280,A,Developing Scalable Web Applications,4,11:00 AM-11:50 AM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,CSC460,,Industry Trends in Software Development,4,11:00 AM-11:50 AM,MTWHF,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,FAC120,B,Spoken Communications,3,11:00 AM-11:50 AM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,11:00 AM,HUM205,,Ethics,3,11:00 AM-11:50 AM,MTWH,Mark Herrera,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,BIT220,1M,Server Administration I: Windows,3,1:00 PM-2:20 PM,MTWHF,Kerry Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,BIT320,1M,Shell and Administrative Scripting,2,1:00 PM-1:50 PM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,CSC110,,Introduction to Computer Science,4,1:00 PM-2:20 PM,MTWHF,Joshua Krebs,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,CSC150,A,Object Oriented Programming and Design,6,1:00 PM-2:50 PM,MTWHF,Robert Lamb,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,CSC210,C1,Introduction to Web Presentation and Development,2,1:00 PM-1:50 PM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,FAC120,D,Spoken Communications,3,1:00 PM-1:50 PM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,HUM200,B1,The Imagination of Horror in Media,2,1:00 PM-1:50 PM,MTWHF,Brandon Berrett,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,MGT470,1,Practices in Project Management,4,1:00 PM-2:50 PM,MTWHF,John Kane,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO390,,Capstone Project,4,1:00 PM-2:50 PM,MTWHF,Matt Warner,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO485,,Game Studio I,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO486,,Game Studio II,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO490,,Enterprise Projects I,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO491,,Enterprise Projects II,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO491,,Enterprise Projects II,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO491,,Enterprise Projects II,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO492,,Enterprise Projects III,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,1:00 PM,PRO492,,Enterprise Projects III,6,1:00 PM-4:50 PM,MTWHF,Jayson Beagley,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,2:00 PM,BIT120,A,Business & Information Systems Practices,4,2:00 PM-2:50 PM,MTWHF,Jerry Pay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,2:00 PM,MTM370,,Front-End Implementation,4,2:00 PM-2:50 PM,MTWHF,Tom Beatty,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,2:30 PM,FAC120,E,Spoken Communications,3,2:30 PM-3:20 PM,MTWH,Jeremiah Harrison,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,2:30 PM,MAT260,,Statistics,3,2:30 PM-3:20 PM,TWHF,Eric Kohler,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:00 PM,BIT120,B,Business & Information Systems Practices,4,3:00 PM-3:50 PM,MTWHF,Andrew Nielsen,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:00 PM,CSC150,D,Object Oriented Programming and Design,6,3:00 PM-4:50 PM,MTWHF,Robert Lamb,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:00 PM,CSC150,E,Object Oriented Programming and Design,6,3:00 PM-4:50 PM,MTWHF,Steve Halladay,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:00 PM,CSC280,B,Developing Scalable Web Applications,4,3:00 PM-3:50 PM,MTWHF,Ron Price,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:30 PM,BIT228,1,Server Administration III: Web,3,3:30 PM-4:50 PM,MTWHF,Kerry Cox,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,3:30 PM,ENG110,,Introduction to English Composition,4,3:30 PM-4:20 PM,MTWHF,Brandon Berrett,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,5:00 PM,BIT120,D,Business & Information Systems Practices,4,5:00 PM-5:50 PM,MTWHF,Andrew Nielsen,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,5:00 PM,BIT350,1,Virtualization Technology and Administration,2,5:00 PM-7:20 PM,TH,Tyler Baxter,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,5:30 PM,GAT180,1,Mobile Game Development,3,5:30 PM-6:50 PM,MTWHF,Colter Cvach,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,5:30 PM,HPE170,1,Healthy Living,2,5:30 PM-6:40 PM,MTWH,Phil Park,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
2016 Winter Course Schedule,Schedule Version:17.002,Report Date:1/8/2016,Sprint 1,Code,Section,Course,Credits,Course Time,Days,Instructor,6:00 PM,BIT120,E,Business & Information Systems Practices,4,6:00 PM-6:50 PM,MTWHF,Andrew Nielsen,Textbook information is available on the Important Documents page of the Neumont website: www.neumont.edu
